icao,airport_node_title,aip_main_title,aip_main_href_menu_relative,aip_main_url
UNEE,UNEE. КЕМЕРОВО,"ДАННЫЕ, ТЕКСТЫ, ТАБЛИЦЫ",../aip/ad/ad2/unee/1-ad2-rus-unee-txt.pdf,https://www.caica.ru/common/AirInter/validaip/aip/ad/ad2/unee/1-ad2-rus-unee-txt.pdf
UHHH,UHHH. ХАБАРОВСК (НОВЫЙ),"ДАННЫЕ, ТЕКСТЫ, ТАБЛИЦЫ",../aip/ad/ad2/uhhh/1-ad2-rus-uhhh-txt.pdf,https://www.caica.ru/common/AirInter/validaip/aip/ad/ad2/uhhh/1-ad2-rus-uhhh-txt.pdf
USHH,USHH. ХАНТЫ-МАНСИЙСК,"ДАННЫЕ, ТЕКСТЫ, ТАБЛИЦЫ",../aip/ad/ad2/ushh/1-ad2-rus-ushh-txt.pdf,https://www.caica.ru/common/AirInter/validaip/aip/ad/ad2/ushh/1-ad2-rus-ushh-txt.pdf
URKK,URKK. КРАСНОДАР (ПАШКОВСКИЙ),"ДАННЫЕ, ТЕКСТЫ, ТАБЛИЦЫ",../aip/ad/ad2/urkk/1-ad2-rus-urkk-txt.pdf,https://www.caica.ru/common/AirInter/validaip/aip/ad/ad2/urkk/1-ad2-rus-urkk-txt.pdf
UNKL,UNKL. КРАСНОЯРСК,"ДАННЫЕ, ТЕКСТЫ, ТАБЛИЦЫ",../aip/ad/ad2/unkl/1-ad2-rus-unkl-txt.pdf,https://www.caica.ru/common/AirInter/validaip/aip/ad/ad2/unkl/1-ad2-rus-unkl-txt.pdf
UUOK,UUOK. КУРСК (ВОСТОЧНЫЙ),"ДАННЫЕ, ТЕКСТЫ, ТАБЛИЦЫ",../aip/ad/ad2/uuok/1-ad2-rus-uuok-txt.pdf,https://www.caica.ru/common/AirInter/validaip/aip/ad/ad2/uuok/1-ad2-rus-uuok-txt.pdf
UUOL,UUOL. ЛИПЕЦК,"ДАННЫЕ, ТЕКСТЫ, ТАБЛИЦЫ",../aip/ad/ad2/uuol/1-ad2-rus-uuol-txt.pdf,https://www.caica.ru/common/AirInter/validaip/aip/ad/ad2/uuol/1-ad2-rus-uuol-txt.pdf
UHMM,UHMM. МАГАДАН (СОКОЛ),"ДАННЫЕ, ТЕКСТЫ, ТАБЛИЦЫ",../aip/ad/ad2/uhmm/1-ad2-rus-uhmm-txt.pdf,https://www.caica.ru/common/AirInter/validaip/aip/ad/ad2/uhmm/1-ad2-rus-uhmm-txt.pdf
USCM,USCM. МАГНИТОГОРСК,"ДАННЫЕ, ТЕКСТЫ, ТАБЛИЦЫ",../aip/ad/ad2/uscm/1-ad2-rus-uscm-txt.pdf,https://www.caica.ru/common/AirInter/validaip/aip/ad/ad2/uscm/1-ad2-rus-uscm-txt.pdf
URML,URML. МАХАЧКАЛА (УЙТАШ),"ДАННЫЕ, ТЕКСТЫ, ТАБЛИЦЫ",../aip/ad/ad2/urml/1-ad2-rus-urml-txt.pdf,https://www.caica.ru/common/AirInter/validaip/aip/ad/ad2/urml/1-ad2-rus-urml-txt.pdf
URMM,URMM. МИНЕРАЛЬНЫЕ ВОДЫ,"ДАННЫЕ, ТЕКСТЫ, ТАБЛИЦЫ",../aip/ad/ad2/urmm/1-ad2-rus-urmm-txt.pdf,https://www.caica.ru/common/AirInter/validaip/aip/ad/ad2/urmm/1-ad2-rus-urmm-txt.pdf
UUDD,UUDD. МОСКВА (ДОМОДЕДОВО),"ДАННЫЕ, ТЕКСТЫ, ТАБЛИЦЫ",../aip/ad/ad2/uudd/1-ad2-rus-uudd-txt.pdf,https://www.caica.ru/common/AirInter/validaip/aip/ad/ad2/uudd/1-ad2-rus-uudd-txt.pdf
UUEE,UUEE. МОСКВА (ШЕРЕМЕТЬЕВО),"ДАННЫЕ, ТЕКСТЫ, ТАБЛИЦЫ",../aip/ad/ad2/uuee/1-ad2-rus-uuee-txt.pdf,https://www.caica.ru/common/AirInter/validaip/aip/ad/ad2/uuee/1-ad2-rus-uuee-txt.pdf
UUWW,UUWW. МОСКВА (ВНУКОВО),"ДАННЫЕ, ТЕКСТЫ, ТАБЛИЦЫ",../aip/ad/ad2/uuww/1-ad2-rus-uuww-txt.pdf,https://www.caica.ru/common/AirInter/validaip/aip/ad/ad2/uuww/1-ad2-rus-uuww-txt.pdf
ULMM,ULMM. МУРМАНСК,"ДАННЫЕ, ТЕКСТЫ, ТАБЛИЦЫ",../aip/ad/ad2/ulmm/1-ad2-rus-ulmm-txt.pdf,https://www.caica.ru/common/AirInter/validaip/aip/ad/ad2/ulmm/1-ad2-rus-ulmm-txt.pdf
URMN,URMN. НАЛЬЧИК,"ДАННЫЕ, ТЕКСТЫ, ТАБЛИЦЫ",../aip/ad/ad2/urmn/1-ad2-rus-urmn-txt.pdf,https://www.caica.ru/common/AirInter/validaip/aip/ad/ad2/urmn/1-ad2-rus-urmn-txt.pdf
